Method,Iteration,R2 Score,Best Fitness,Elapsed Time
regression_BACKPROPAGATION_outlier,6,0.9981938871650364,0.06913801086874292,5.3483331440074835
regression_BACKPROPAGATION_outlier,7,0.9982441273205402,0.06816963235625806,5.344075001979945
regression_BACKPROPAGATION_outlier,8,0.9980898779071717,0.0711008847524448,5.381910268013598
regression_BACKPROPAGATION_outlier,9,0.9981121041030823,0.07068600911591617,5.463963852002053
regression_BACKPROPAGATION_outlier,10,0.9981671282990617,0.06964829255034727,5.341540624998743
regression_GA_outlier,1,0.9971724474060966,0.09401833266019821,21.74909722499433
regression_GA_outlier,2,0.9969823997279125,0.10086753219366074,21.75367295698379
regression_GA_outlier,3,0.9963210791425854,0.10449211299419403,21.74302161700325
regression_GA_outlier,4,0.9977678025600117,0.08652037382125854,21.824604409979656
regression_GA_outlier,5,0.9977384200870923,0.08385096490383148,21.907069987995783
regression_GA_outlier,6,0.9979401766463881,0.0875941663980484,21.721591914014425
regression_GA_outlier,7,0.9962758155307474,0.10644843429327011,22.11542352300603
regression_GA_outlier,8,0.9965934674193667,0.10474833101034164,21.694805402017664
regression_GA_outlier,9,0.9960818431282468,0.1095128282904625,21.959400524996454
regression_GA_outlier,10,0.9930655682642712,0.14495064318180084,21.74226542498218
regression_PSO_outlier,1,0.986393940702049,0.19462193548679352,7.01172771101119
regression_PSO_outlier,2,0.994549320515311,0.1291411966085434,6.814280899998266
regression_PSO_outlier,3,0.9826050593732912,0.23238033056259155,6.862064098997507
regression_PSO_outlier,4,0.9910180263366885,0.16379083693027496,6.810552452021511
regression_PSO_outlier,5,0.9946361684069548,0.12608832120895386,7.478948547999607
regression_PSO_outlier,6,0.9961827921621258,0.11068996787071228,6.842216939025093
regression_PSO_outlier,7,0.9980751070863603,0.0780300423502922,6.806154052988859
regression_PSO_outlier,8,0.9943468967738748,0.135199174284935,6.786819058004767
regression_PSO_outlier,9,0.9913861091612355,0.1581747978925705,6.793646297999658
regression_PSO_outlier,10,0.9977791498366976,0.08560790121555328,6.789219789992785
